Topic,Question,BT Level
Thread Lifecycle,Summarize the role of Thread Lifecycle in Java programming.,Understand
Autoboxing,Develop a complete Java application that uses Autoboxing along with other concepts.,Create
Packages,"Using Packages, write a program to solve a simple problem in Java.",Apply
Scanner Class,Analyze why a Java program using Scanner Class may produce unexpected results.,Analyze
Access Modifiers,Analyze how Access Modifiers interacts with other features of Java.,Analyze
Scanner Class,Recall the default value associated with Scanner Class in Java.,Remember
Lambda Expressions,Evaluate the trade-offs involved in using Lambda Expressions in Java.,Evaluate
toString Method,Evaluate two different approaches to implementing toString Method in Java and recommend one.,Evaluate
Method Overloading,Create a new Java class hierarchy that demonstrates Method Overloading.,Create
Object Class,Differentiate between Object Class and a related concept in Java.,Understand
Variables,Analyze the time complexity of operations involving Variables in Java.,Analyze
String Buffer and Builder,Create a new Java class hierarchy that demonstrates String Buffer and Builder.,Create
Anonymous Classes,"Using Anonymous Classes, write a program to solve a simple problem in Java.",Apply
Default Methods,What is Default Methods in Java?,Remember
this Keyword,Propose and implement an original Java solution using this Keyword.,Create
Math Class,Develop a complete Java application that uses Math Class along with other concepts.,Create
TreeMap,Evaluate the correctness and quality of a Java solution that uses TreeMap.,Evaluate
ClassLoaderBasics,Analyze why a Java program using ClassLoaderBasics may produce unexpected results.,Analyze
Iterator,Break down the working of Iterator in Java and analyze each step.,Analyze
JDK and JRE,Describe how JDK and JRE works in Java.,Understand
Anonymous Classes,Name the types of Anonymous Classes available in Java.,Remember
Ternary Operator,Formulate a Java mini-project that showcases Ternary Operator.,Create
Packages,Argue for or against the use of Packages in a given Java scenario.,Evaluate
Thread Synchronization,Define Thread Synchronization in Java.,Remember
Default Methods,Evaluate the trade-offs involved in using Default Methods in Java.,Evaluate
Inheritance,Create a new Java class hierarchy that demonstrates Inheritance.,Create
Deque,State the syntax of Deque in Java.,Remember
Byte Streams,Implement Byte Streams in Java with a working code example.,Apply
Multidimensional Arrays,State two characteristics of Multidimensional Arrays in Java.,Remember
Multidimensional Arrays,Write a Java code snippet that makes use of Multidimensional Arrays.,Apply
Ternary Operator,Mention the purpose of Ternary Operator in Java.,Remember
Strings,Judge the suitability of Strings for a large-scale Java project.,Evaluate
Thread Synchronization,Name the types of Thread Synchronization available in Java.,Remember
Lambda Expressions,"Determine whether Lambda Expressions improves or harms the efficiency of a Java program, and justify.",Evaluate
Abstract Classes,Classify the different forms of Abstract Classes in Java and explain each.,Understand
Method Overriding,Show how Method Overriding can be used in a Java program to perform a task.,Apply
Ternary Operator,Identify the keyword used for Ternary Operator in Java.,Remember
Thread Lifecycle,Differentiate between Thread Lifecycle and a related concept in Java.,Understand
Stream API,List the key features of Stream API in Java.,Remember
this Keyword,Differentiate between this Keyword and a related concept in Java.,Understand
Collections Framework,Discuss the significance of Collections Framework in Java.,Understand
toString Method,Inspect a Java program using toString Method and identify the logical flow.,Analyze
TreeMap,Evaluate the trade-offs involved in using TreeMap in Java.,Evaluate
Math Class,Break down the working of Math Class in Java and analyze each step.,Analyze
Lambda Expressions,Name the types of Lambda Expressions available in Java.,Remember
Final Keyword,Propose and implement an original Java solution using Final Keyword.,Create
HashMap,Identify the keyword used for HashMap in Java.,Remember
String Pool,Discuss the significance of String Pool in Java.,Understand
ClassLoaderBasics,"Determine whether ClassLoaderBasics improves or harms the efficiency of a Java program, and justify.",Evaluate
Inheritance,What is Inheritance in Java?,Remember
JVM Architecture,Assess the impact of JVM Architecture on the maintainability of Java code.,Evaluate
Deque,Argue for or against the use of Deque in a given Java scenario.,Evaluate
Dynamic Binding,Interpret the behaviour of Dynamic Binding in Java with a suitable example.,Understand
Character Streams,Analyze the output of a Java program that uses Character Streams.,Analyze
Try-Catch-Finally,Evaluate two different approaches to implementing Try-Catch-Finally in Java and recommend one.,Evaluate
Variables,Name the types of Variables available in Java.,Remember
Packages,Construct a Java program that combines Packages with exception handling to build a robust solution.,Create
StringTokenizer,"Using StringTokenizer, write a program to solve a simple problem in Java.",Apply
toString Method,What is toString Method in Java?,Remember
Enum,Examine how Enum affects the performance of a Java program.,Analyze
Byte Streams,Define Byte Streams in Java.,Remember
Loops,Give reasons why Loops is important in Java.,Understand
Exception Handling,Identify the keyword used for Exception Handling in Java.,Remember
File Handling,Analyze the output of a Java program that uses File Handling.,Analyze
Multidimensional Arrays,Design a Java program using Multidimensional Arrays to model a real-life entity.,Create
Vector,What are the components of Vector in Java?,Remember
Lambda Expressions,Investigate the common errors that occur while using Lambda Expressions in Java.,Analyze
Collections Framework,State the syntax of Collections Framework in Java.,Remember
Deque,Show how Deque can be used in a Java program to perform a task.,Apply
Deque,Demonstrate the use of Deque through a Java program.,Apply
Switch Statement,"Recommend, with justification, when Switch Statement should be used in Java.",Evaluate
Collections Framework,Why is Collections Framework used in Java? Explain.,Understand
Data Types,Design and build a Java module that applies Data Types effectively.,Create
Abstract Classes,Implement Abstract Classes in Java with a working code example.,Apply
String Pool,"Recommend, with justification, when String Pool should be used in Java.",Evaluate
Java I/O,Name the types of Java I/O available in Java.,Remember
Singleton Class,What are the components of Singleton Class in Java?,Remember
Object Class,Develop a complete Java application that uses Object Class along with other concepts.,Create
Immutable Class,Define Immutable Class in Java.,Remember
Methods,Mention the purpose of Methods in Java.,Remember
Regular Expressions,Classify the different forms of Regular Expressions in Java and explain each.,Understand
Static Binding,Name the types of Static Binding available in Java.,Remember
Variable Scope,Classify the different forms of Variable Scope in Java and explain each.,Understand
equals and hashCode,Examine how equals and hashCode affects the performance of a Java program.,Analyze
Control Statements,Classify the different forms of Control Statements in Java and explain each.,Understand
Constructor Overloading,Construct a Java program that combines Constructor Overloading with exception handling to build a robust solution.,Create
ClassLoaderBasics,Distinguish between correct and incorrect uses of ClassLoaderBasics in Java with analysis.,Analyze
Composition,Demonstrate the use of Composition through a Java program.,Apply
Collections Framework,Write the general form of Collections Framework in Java.,Remember
Arrays,Write the general form of Arrays in Java.,Remember
Dynamic Binding,Explain the advantages of using Dynamic Binding in Java.,Understand
Has-A Relationship,What is Has-A Relationship in Java?,Remember
String Buffer and Builder,Define String Buffer and Builder in Java.,Remember
toString Method,Explain how toString Method differs from its alternatives in Java.,Understand
Abstraction,Evaluate the trade-offs involved in using Abstraction in Java.,Evaluate
Var-args,Analyze why a Java program using Var-args may produce unexpected results.,Analyze
Final Keyword,State two characteristics of Final Keyword in Java.,Remember
Singleton Class,Give reasons why Singleton Class is important in Java.,Understand
Bytecode,What is Bytecode in Java?,Remember
Variables,Create a Java application that uses Variables to manage data for a small system.,Create
Try-Catch-Finally,Argue for or against the use of Try-Catch-Finally in a given Java scenario.,Evaluate
Abstract Classes,Why is Abstract Classes used in Java? Explain.,Understand
Bytecode,Examine the relationship between Bytecode and memory usage in Java.,Analyze
Inheritance,Formulate a Java mini-project that showcases Inheritance.,Create
String Buffer and Builder,State two characteristics of String Buffer and Builder in Java.,Remember
Iterator,Why is Iterator used in Java? Explain.,Understand
Functional Interfaces,What is Functional Interfaces in Java?,Remember
Variables,Design a Java program using Variables to model a real-life entity.,Create
Final Keyword,Formulate a Java mini-project that showcases Final Keyword.,Create
Has-A Relationship,Demonstrate the use of Has-A Relationship through a Java program.,Apply
Default Methods,Break down the working of Default Methods in Java and analyze each step.,Analyze
File Handling,Break down the working of File Handling in Java and analyze each step.,Analyze
Generics,Critique a design decision that relies on Generics in Java.,Evaluate
LinkedList,Explain the working of LinkedList in Java in your own words.,Understand
Labeled Loops,Justify whether Labeled Loops is the best choice for a given Java programming problem.,Evaluate
Labeled Loops,Critique a design decision that relies on Labeled Loops in Java.,Evaluate
LinkedList,Give reasons why LinkedList is important in Java.,Understand
Multidimensional Arrays,Analyze the time complexity of operations involving Multidimensional Arrays in Java.,Analyze
Variable Scope,Use Variable Scope to implement a small Java application.,Apply
Ternary Operator,Evaluate two different approaches to implementing Ternary Operator in Java and recommend one.,Evaluate
Thread Lifecycle,Apply the concept of Thread Lifecycle to complete a partially written Java program.,Apply
Has-A Relationship,Evaluate two different approaches to implementing Has-A Relationship in Java and recommend one.,Evaluate
Has-A Relationship,Develop a complete Java application that uses Has-A Relationship along with other concepts.,Create
Association,Write a Java program to demonstrate Association.,Apply
Functional Interfaces,Implement Functional Interfaces in Java with a working code example.,Apply
JVM Architecture,Give reasons why JVM Architecture is important in Java.,Understand
Nested Classes,Show how Nested Classes can be used in a Java program to perform a task.,Apply
Comparable and Comparator,Justify whether Comparable and Comparator is the best choice for a given Java programming problem.,Evaluate
Functional Interfaces,Analyze the output of a Java program that uses Functional Interfaces.,Analyze
Aggregation,Formulate a Java mini-project that showcases Aggregation.,Create
Constructors,Devise a Java program that uses Constructors to implement a custom feature.,Create
Static Binding,Distinguish between correct and incorrect uses of Static Binding in Java with analysis.,Analyze
Throw and Throws,Construct a Java program that combines Throw and Throws with exception handling to build a robust solution.,Create
Variable Scope,Compare Variable Scope with a related concept in Java and analyze the differences.,Analyze
Collections Framework,Break down the working of Collections Framework in Java and analyze each step.,Analyze
Date and Time API,Critically assess the advantages and limitations of Date and Time API in Java.,Evaluate
JVM Architecture,Critically assess the advantages and limitations of JVM Architecture in Java.,Evaluate
ClassLoaderBasics,Design a Java program using ClassLoaderBasics to model a real-life entity.,Create
Static Keyword,List the key features of Static Keyword in Java.,Remember
Enum,Write a Java code snippet that makes use of Enum.,Apply
Command Line Arguments,Differentiate between Command Line Arguments and a related concept in Java.,Understand
Constructors,Break down the working of Constructors in Java and analyze each step.,Analyze
Multithreading,Explain the working of Multithreading in Java in your own words.,Understand
Character Streams,Why is Character Streams used in Java? Explain.,Understand
Constructors,Describe how Constructors works in Java.,Understand
Packages,Develop an innovative Java program that extends the usual use of Packages.,Create
TreeMap,Write and execute a Java program illustrating TreeMap.,Apply
Encapsulation,Differentiate between Encapsulation and a related concept in Java.,Understand
Polymorphism,Create a new Java class hierarchy that demonstrates Polymorphism.,Create
Data Types,"Using Data Types, write a program to solve a simple problem in Java.",Apply
ClassLoaderBasics,Design a Java program that integrates ClassLoaderBasics to solve a real-world problem.,Create
Command Line Arguments,Apply Command Line Arguments to write a Java program that takes user input and produces output.,Apply
Iterator,Analyze the time complexity of operations involving Iterator in Java.,Analyze
Jagged Arrays,Name the types of Jagged Arrays available in Java.,Remember
Methods,Design and build a Java module that applies Methods effectively.,Create
Has-A Relationship,Create a Java application that uses Has-A Relationship to manage data for a small system.,Create
LinkedList,Summarize the role of LinkedList in Java programming.,Understand
Dynamic Binding,Explain the working of Dynamic Binding in Java in your own words.,Understand
Strings,Design a Java program that integrates Strings to solve a real-world problem.,Create
Dynamic Binding,Demonstrate the use of Dynamic Binding through a Java program.,Apply
Abstraction,Critique a design decision that relies on Abstraction in Java.,Evaluate
Recursion,Construct a Java program that applies Recursion to process data.,Apply
Inheritance,Apply the concept of Inheritance to complete a partially written Java program.,Apply
Inheritance,Write a Java program to demonstrate Inheritance.,Apply
Java Memory Model,Identify the keyword used for Java Memory Model in Java.,Remember
Byte Streams,Explain how Byte Streams differs from its alternatives in Java.,Understand
Date and Time API,What is Date and Time API in Java?,Remember
Exception Handling,What are the components of Exception Handling in Java?,Remember
Variable Scope,Analyze how Variable Scope interacts with other features of Java.,Analyze
Data Types,Analyze why a Java program using Data Types may produce unexpected results.,Analyze
HashSet,Give reasons why HashSet is important in Java.,Understand
this Keyword,Inspect a Java program using this Keyword and identify the logical flow.,Analyze
Thread Lifecycle,Examine the relationship between Thread Lifecycle and memory usage in Java.,Analyze
Comparable and Comparator,Construct a Java program that combines Comparable and Comparator with exception handling to build a robust solution.,Create
Interfaces,Write and execute a Java program illustrating Interfaces.,Apply
Variables,Write and execute a Java program illustrating Variables.,Apply
String Pool,Critique a design decision that relies on String Pool in Java.,Evaluate
JDK and JRE,State the syntax of JDK and JRE in Java.,Remember
equals and hashCode,Construct a Java program that applies equals and hashCode to process data.,Apply
Enhanced For Loop,Define Enhanced For Loop in Java.,Remember
Try-Catch-Finally,Explain how Try-Catch-Finally differs from its alternatives in Java.,Understand
Strings,Build a Java solution that uses Strings and explain your design choices.,Create
Abstraction,Implement Abstraction in Java with a working code example.,Apply
Java I/O,Analyze why a Java program using Java I/O may produce unexpected results.,Analyze
Runnable Interface,Design a Java program that integrates Runnable Interface to solve a real-world problem.,Create
Arrays,Evaluate the trade-offs involved in using Arrays in Java.,Evaluate
super Keyword,Examine the relationship between super Keyword and memory usage in Java.,Analyze
Autoboxing,Compare Autoboxing with a related concept in Java and analyze the differences.,Analyze
Enhanced For Loop,Evaluate the effectiveness of using Enhanced For Loop in a Java application.,Evaluate
Jagged Arrays,Critique a design decision that relies on Jagged Arrays in Java.,Evaluate
Deque,Investigate the common errors that occur while using Deque in Java.,Analyze
Packages,Evaluate the trade-offs involved in using Packages in Java.,Evaluate
Garbage Collection,Evaluate the effectiveness of using Garbage Collection in a Java application.,Evaluate
Switch Statement,"Determine whether Switch Statement improves or harms the efficiency of a Java program, and justify.",Evaluate
Abstract Classes,Formulate a Java mini-project that showcases Abstract Classes.,Create
ArrayList,Apply ArrayList to write a Java program that takes user input and produces output.,Apply
Runnable Interface,Apply Runnable Interface to write a Java program that takes user input and produces output.,Apply
Is-A Relationship,State two characteristics of Is-A Relationship in Java.,Remember
Methods,Define Methods in Java.,Remember
Variables,Investigate the common errors that occur while using Variables in Java.,Analyze
Strings,Name the types of Strings available in Java.,Remember
Composition,List the key features of Composition in Java.,Remember
ClassLoaderBasics,Write and execute a Java program illustrating ClassLoaderBasics.,Apply
Deque,Justify whether Deque is the best choice for a given Java programming problem.,Evaluate
Object Class,Distinguish between correct and incorrect uses of Object Class in Java with analysis.,Analyze
Aggregation,Demonstrate the use of Aggregation through a Java program.,Apply
Loops,Inspect a Java program using Loops and identify the logical flow.,Analyze
Annotations,State the syntax of Annotations in Java.,Remember
Exception Handling,Examine how Exception Handling affects the performance of a Java program.,Analyze
equals and hashCode,Show how equals and hashCode can be used in a Java program to perform a task.,Apply
Command Line Arguments,Show how Command Line Arguments can be used in a Java program to perform a task.,Apply
File Handling,Devise a Java program that uses File Handling to implement a custom feature.,Create
Java I/O,Devise a Java program that uses Java I/O to implement a custom feature.,Create
Queue,Break down the working of Queue in Java and analyze each step.,Analyze
Stream API,Analyze a given Java code segment using Stream API and explain its behaviour.,Analyze
Packages,Examine how Packages affects the performance of a Java program.,Analyze
BufferedReader,Examine the relationship between BufferedReader and memory usage in Java.,Analyze
Date and Time API,What are the components of Date and Time API in Java?,Remember
this Keyword,Compare this Keyword with a related concept in Java and analyze the differences.,Analyze
Inner Classes,"Determine whether Inner Classes improves or harms the efficiency of a Java program, and justify.",Evaluate
toString Method,Argue for or against the use of toString Method in a given Java scenario.,Evaluate
Static Keyword,Create a Java application that uses Static Keyword to manage data for a small system.,Create
String Buffer and Builder,Investigate the common errors that occur while using String Buffer and Builder in Java.,Analyze
Autoboxing,Differentiate between Autoboxing and a related concept in Java.,Understand
Type Casting,Evaluate the effectiveness of using Type Casting in a Java application.,Evaluate
Abstract Classes,Give reasons why Abstract Classes is important in Java.,Understand
Methods,Develop a complete Java application that uses Methods along with other concepts.,Create
Bytecode,Distinguish between correct and incorrect uses of Bytecode in Java with analysis.,Analyze
Variable Scope,Implement Variable Scope in Java with a working code example.,Apply
equals and hashCode,Analyze a given Java code segment using equals and hashCode and explain its behaviour.,Analyze
Constructor Overloading,Create a new Java class hierarchy that demonstrates Constructor Overloading.,Create
Iterator,Develop a complete Java application that uses Iterator along with other concepts.,Create
Bytecode,Evaluate the correctness and quality of a Java solution that uses Bytecode.,Evaluate
JDK and JRE,Examine how JDK and JRE affects the performance of a Java program.,Analyze
Generics,Justify whether Generics is the best choice for a given Java programming problem.,Evaluate
Multithreading,Design a Java program that integrates Multithreading to solve a real-world problem.,Create
String Buffer and Builder,Name the types of String Buffer and Builder available in Java.,Remember
Runnable Interface,Why is Runnable Interface used in Java? Explain.,Understand
Has-A Relationship,Propose and implement an original Java solution using Has-A Relationship.,Create
Java Memory Model,Assess the impact of Java Memory Model on the maintainability of Java code.,Evaluate
Final Keyword,Justify whether Final Keyword is the best choice for a given Java programming problem.,Evaluate
Exception Handling,Explain the working of Exception Handling in Java in your own words.,Understand
Variable Scope,Analyze the time complexity of operations involving Variable Scope in Java.,Analyze
Abstract Classes,Apply the concept of Abstract Classes to complete a partially written Java program.,Apply
JDK and JRE,Develop a complete Java application that uses JDK and JRE along with other concepts.,Create
Default Methods,Evaluate the effectiveness of using Default Methods in a Java application.,Evaluate
Enhanced For Loop,Formulate a Java mini-project that showcases Enhanced For Loop.,Create
Association,Evaluate the trade-offs involved in using Association in Java.,Evaluate
Immutable Class,What is Immutable Class in Java?,Remember
Exception Handling,Implement Exception Handling in Java with a working code example.,Apply
Method Overloading,Develop a Java program that uses Method Overloading to handle a given scenario.,Apply
HashMap,"Determine whether HashMap improves or harms the efficiency of a Java program, and justify.",Evaluate
Abstract Classes,Justify whether Abstract Classes is the best choice for a given Java programming problem.,Evaluate
toString Method,Judge the suitability of toString Method for a large-scale Java project.,Evaluate
Queue,Justify whether Queue is the best choice for a given Java programming problem.,Evaluate
Comparable and Comparator,Classify the different forms of Comparable and Comparator in Java and explain each.,Understand
Bytecode,Design a Java program that integrates Bytecode to solve a real-world problem.,Create
Character Streams,Apply the concept of Character Streams to complete a partially written Java program.,Apply
Deque,Compare Deque with a related concept in Java and analyze the differences.,Analyze
Methods,Examine how Methods affects the performance of a Java program.,Analyze
Functional Interfaces,Write a Java program to demonstrate Functional Interfaces.,Apply
Functional Interfaces,Distinguish between correct and incorrect uses of Functional Interfaces in Java with analysis.,Analyze
toString Method,Critically assess the advantages and limitations of toString Method in Java.,Evaluate
Comparable and Comparator,Create a Java application that uses Comparable and Comparator to manage data for a small system.,Create
ClassLoaderBasics,Show how ClassLoaderBasics can be used in a Java program to perform a task.,Apply
Autoboxing,Explain the working of Autoboxing in Java in your own words.,Understand
Dynamic Binding,Write and execute a Java program illustrating Dynamic Binding.,Apply
Stack,What are the components of Stack in Java?,Remember
Control Statements,Give reasons why Control Statements is important in Java.,Understand
HashSet,Explain the concept of HashSet in Java with an example.,Understand
this Keyword,Construct a Java program that applies this Keyword to process data.,Apply
Strings,Define Strings in Java.,Remember
Composition,Design a Java program using Composition to model a real-life entity.,Create
Exception Handling,Compare Exception Handling with a related concept in Java and analyze the differences.,Analyze
Dynamic Binding,What are the components of Dynamic Binding in Java?,Remember
Bytecode,"Recommend, with justification, when Bytecode should be used in Java.",Evaluate
Abstraction,Formulate a Java mini-project that showcases Abstraction.,Create
String Pool,Compare String Pool with a related concept in Java and analyze the differences.,Analyze
Bitwise Operators,Show how Bitwise Operators can be used in a Java program to perform a task.,Apply
Garbage Collection,Develop a Java program that uses Garbage Collection to handle a given scenario.,Apply
Enum,Devise a Java program that uses Enum to implement a custom feature.,Create
Control Statements,Explain the concept of Control Statements in Java with an example.,Understand
Iterator,Develop an innovative Java program that extends the usual use of Iterator.,Create
Type Casting,Develop a complete Java application that uses Type Casting along with other concepts.,Create
StringTokenizer,Design a Java program that integrates StringTokenizer to solve a real-world problem.,Create
Java Memory Model,Write and execute a Java program illustrating Java Memory Model.,Apply
Math Class,Critically assess the advantages and limitations of Math Class in Java.,Evaluate
Queue,Evaluate the trade-offs involved in using Queue in Java.,Evaluate
Static Binding,Construct a Java program that applies Static Binding to process data.,Apply
Anonymous Classes,Give reasons why Anonymous Classes is important in Java.,Understand
Annotations,Define Annotations in Java.,Remember
Wrapper Classes,Write and execute a Java program illustrating Wrapper Classes.,Apply
Stack,Write and execute a Java program illustrating Stack.,Apply
Ternary Operator,List the key features of Ternary Operator in Java.,Remember
Association,Inspect a Java program using Association and identify the logical flow.,Analyze
Operators,Propose and implement an original Java solution using Operators.,Create
Functional Interfaces,State the syntax of Functional Interfaces in Java.,Remember
equals and hashCode,Evaluate the effectiveness of using equals and hashCode in a Java application.,Evaluate
Strings,Construct a Java program that applies Strings to process data.,Apply
Queue,Argue for or against the use of Queue in a given Java scenario.,Evaluate
ArrayList,Create a new Java class hierarchy that demonstrates ArrayList.,Create
super Keyword,Explain the advantages of using super Keyword in Java.,Understand
Try-Catch-Finally,Interpret the behaviour of Try-Catch-Finally in Java with a suitable example.,Understand
Abstraction,Examine the relationship between Abstraction and memory usage in Java.,Analyze
Lambda Expressions,Differentiate between Lambda Expressions and a related concept in Java.,Understand
Constructor Overloading,Design a Java program using Constructor Overloading to model a real-life entity.,Create
JDK and JRE,Formulate a Java mini-project that showcases JDK and JRE.,Create
Enhanced For Loop,Design and build a Java module that applies Enhanced For Loop effectively.,Create
Is-A Relationship,Discuss the significance of Is-A Relationship in Java.,Understand
Marker Interface,Create a new Java class hierarchy that demonstrates Marker Interface.,Create
Strings,Analyze the time complexity of operations involving Strings in Java.,Analyze
Garbage Collection,Interpret the behaviour of Garbage Collection in Java with a suitable example.,Understand
Marker Interface,Design and build a Java module that applies Marker Interface effectively.,Create
Polymorphism,Show how Polymorphism can be used in a Java program to perform a task.,Apply
ArrayList,Propose and implement an original Java solution using ArrayList.,Create
Method Overriding,Analyze the time complexity of operations involving Method Overriding in Java.,Analyze
Access Modifiers,What is Access Modifiers in Java?,Remember
Method Overriding,Argue for or against the use of Method Overriding in a given Java scenario.,Evaluate
Object Class,Develop a Java program that uses Object Class to handle a given scenario.,Apply
BufferedReader,Devise a Java program that uses BufferedReader to implement a custom feature.,Create
Loops,Explain the advantages of using Loops in Java.,Understand
TreeMap,Investigate the common errors that occur while using TreeMap in Java.,Analyze
Singleton Class,Develop a Java program that uses Singleton Class to handle a given scenario.,Apply
Enum,Give reasons why Enum is important in Java.,Understand
ClassLoaderBasics,"Using ClassLoaderBasics, write a program to solve a simple problem in Java.",Apply
Labeled Loops,Show how Labeled Loops can be used in a Java program to perform a task.,Apply
Regular Expressions,Construct a Java program that combines Regular Expressions with exception handling to build a robust solution.,Create
Immutable Class,Analyze a given Java code segment using Immutable Class and explain its behaviour.,Analyze
Enum,Break down the working of Enum in Java and analyze each step.,Analyze
Var-args,Classify the different forms of Var-args in Java and explain each.,Understand
Singleton Class,Demonstrate the use of Singleton Class through a Java program.,Apply
Data Types,Build a Java solution that uses Data Types and explain your design choices.,Create
Math Class,Propose and implement an original Java solution using Math Class.,Create
Multidimensional Arrays,Implement Multidimensional Arrays in Java with a working code example.,Apply
toString Method,Propose and implement an original Java solution using toString Method.,Create
Wrapper Classes,Design and build a Java module that applies Wrapper Classes effectively.,Create
Operators,Classify the different forms of Operators in Java and explain each.,Understand
Variable Scope,Mention the purpose of Variable Scope in Java.,Remember
Custom Exceptions,Evaluate two different approaches to implementing Custom Exceptions in Java and recommend one.,Evaluate
Singleton Class,Break down the working of Singleton Class in Java and analyze each step.,Analyze
Lambda Expressions,Design a Java program using Lambda Expressions to model a real-life entity.,Create
Switch Statement,Interpret the behaviour of Switch Statement in Java with a suitable example.,Understand
Access Modifiers,Demonstrate the use of Access Modifiers through a Java program.,Apply
Interfaces,Describe how Interfaces works in Java.,Understand
TreeMap,Design and build a Java module that applies TreeMap effectively.,Create
BufferedReader,Evaluate the correctness and quality of a Java solution that uses BufferedReader.,Evaluate
Dynamic Binding,Apply the concept of Dynamic Binding to complete a partially written Java program.,Apply
Constructors,Discuss the significance of Constructors in Java.,Understand
Custom Exceptions,Evaluate the correctness and quality of a Java solution that uses Custom Exceptions.,Evaluate
JDK and JRE,Compare JDK and JRE with a related concept in Java and analyze the differences.,Analyze
Deque,Create a new Java class hierarchy that demonstrates Deque.,Create
Classes and Objects,Break down the working of Classes and Objects in Java and analyze each step.,Analyze
ArrayList,Design and build a Java module that applies ArrayList effectively.,Create
Thread Synchronization,Devise a Java program that uses Thread Synchronization to implement a custom feature.,Create
JDK and JRE,Name the types of JDK and JRE available in Java.,Remember
Encapsulation,Interpret the behaviour of Encapsulation in Java with a suitable example.,Understand
Static Binding,Judge the suitability of Static Binding for a large-scale Java project.,Evaluate
Stack,Create a new Java class hierarchy that demonstrates Stack.,Create
